.	icon
Pteranodon	Pteranodon_longiceps
Ptychodera	Ptychodera_flava
Ramazzottius	Ramazzottius
Rangifer	Rangifer_tarandus
Raphanus	Raphanus_raphanistrum
Raphanus	Raphanus_sativus
Rattus	Rattus_norvegicus
Saccharomyces	Saccharomyces_cerevisiae
Saccharum	Saccharum_officinarum
Salmo	Salmo_salar
Schistosoma	Schistosoma_japonicum
Schistosoma	Schistosoma_mansoni
Schizosaccharomyces	Schizosaccharomyces_pombe
Sciurus	Sciurus_lis
Solanum	Solanum_lycopersicum
Solanum	Solanum_tuberosum
Sorghum	Sorghum_bicolor
Spheniscus	Spheniscus_magellanicus
Sphenodon	Sphenodon_punctatus
Stegosaurus	Stegosaurus_stenops
Strongylocentrotus	Strongylocentrotus_purpuratus
Struthio	Struthio_camelus
Sus	Sus_scrofa_domestica
Sympetrum	Sympetrum_frequens
Synechocystis	Synechocystis_sp_PCC_6803
Tachyglossus	Tachyglossus_aculeatus
Taeniopygia	Taeniopygia_guttata
Takifugu	Takifugu_rubripes
Tapirus	Tapirus_indicus
Torpedo	Torpedo_californica
Toxoplasma	Toxoplasma_gondii
Tribolium	Tribolium_castaneum
Triceratops	Triceratops_horridus
Trichoplax	Trichoplax_adhaerens
Trichosurus	Trichosurus_vulpecula
Triticum	Triticum_aestivum
Trypanosoma	Trypanosoma_brucei
Tupaia	Tupaia_javanica
Tursiops	Tursiops_truncatus
Tyrannosaurus	Tyrannosaurus_rex
Ursus	Ursus_arctos
Vicugna	Vicugna_pacos
Vitis	Vitis_vinifera
Vulpes	Vulpes_vulpes
Xenopus	Xenopus_laevis
Xenopus	Xenopus_tropicalis
Xenoturbella	Xenoturbella_bocki
Zalophus	Zalophus_californianus
Zea	Zea_mays

. e2j
bacteria	バクテリア
archaea	古細菌
eukaryote	真核生物
fungus	菌類
yeast	酵母
arthropod	節足動物
plant	植物
animal	動物
invertebrata 	無脊椎動物
fish	魚類
amphibia	両生類
reptile	爬虫類
bird	鳥類
mammal	哺乳類
human	ヒト
grape	ブドウ
E. coli	大腸菌
brown rat	ドブネズミ
Seed plant	種子植物

.	thermo

Acidilobus saccharovorans	1
Acidimicrobium ferrooxidans	1
Caldalkalibacillus thermarum	1
Caldanaerobius polysaccharolyticus	1
Caldicellulosiruptor bescii	1
Caldicellulosiruptor saccharolyticus	1
Campylobacter lari	1
Carboxydothermus hydrogenoformans	1
Chaetomium thermophilum	1
Chlorobium tepidum	1
Chloroflexus aggregans	1
Chloroflexus aurantiacus	1
Clostridium stercorarium	1
Clostridium thermocellum	1
Dictyoglomus thermophilum	1
Fervidobacterium islandicum	1
Hydrogenobacter thermophilus	1
Methanocaldococcus jannaschii	1
Methanosarcina thermophila	1
Methanothermobacter	1
Methanothermobacter marburgensis	1
Methanothermus fervidus	1
Microbispora	1
Rhodothermus marinus	1
Rubrobacter xylanophilus	1
Salinibacter ruber	1
Spirochaeta thermophila	1
Streptomyces diastaticus	1
Streptomyces thermoviolaceus	1
Thermoanaerobacter 	1
Thermoproteus 	1
Sulfurisphaera 	1
Sulfolobus 	1
Saccharolobus 	1
..	古細菌
Archaeoglobus 	1
Pyrococcus 	1
Aeropyrum pernix	1
Thermococcus 	1
Pyrobaculum 	1
Hyperthermus 	1
Pyrodictium 	1
Methanopyrus 	1
Geogemma 	1
Pyrolobus 	1
Sulfolobus 	1
Methanothermo	1
bacter thermautotrophicus	1
Thermoplasma 	1
Nanoarchaeum 	1
Ignicoccus 	1
..	バクテリア
Thermus 	1
Aquifex aeolicus	1
Aquifex pyrophilus	1
Thermotoga 	1
Thermodesulfobacterium	1
Geobacillus stearothermophilus	1
Geobacillus thermoglucosidasius	1
Thermobifida 	1
Thermosynechococcus 	1
Moorella thermoacetica	1

..	真核
Cyanidiophyceae	1
Thermomyces 	1
Chaetomium thermophilum	1
// Tetrahymena thermophila	1

.	linematch_comment
..	* 優先度はwikipeの下 前優先
..	バクテリア
Campylobacter	カンピロバクター|Campylobacter
Cyanobacteria	藍藻|Cyanobacteria
Lactobacillus	乳酸菌
Lactococcus	乳酸菌
Chromatiales	紅色硫黄細菌
Bacillariophyta	珪藻|Diatom

..	真核生物
Batoidea	エイ|ray
Echinoidea	ウニ|sea urchin
Euglenales	ミドリムシ|euglena

Crustacea	甲殻類|crustacean
Brachyura	カニ|crab
Lampyridae	ホタル|firefly	
Lepidoptera	蝶・蛾|butterflies/moths
Blattodea	ゴキブリ|cockroach
Coleoptera	甲虫|beetle

Corallimorpharia	イソギンチャク|sea anemone
Actiniaria	イソギンチャク|sea anemone
Solanaceae	ナス科
Aspergillus	カビ|mold
Elapidae	コブラ|cobra
Serpentes	ヘビ|snake
Chamaeleonidae	カメレオン
Crocodylia	ワニ

Anseriformes	カモ
Galliformes	キジ
Anura	カエル|frog
Trypanosoma	トリパノソーマ

..	植物
Fabaceae	マメ科
Magnoliophyta	被子植物

