.	img_angle
//ムービーのスナップショットの方向
..	EMDB
5235	top2
1931	top2

2030	top2

2084	top2
2085	top2
2086	top2
2087	top2
2088	top2
5385	top2
2158	top2
1856	top2
2322	top2
2355	top2
2329	top2
2330	top2
2508	top2
2627	top2

2681	top2
2679	top2
2706	top2
2707	top2
2751	bottom2
2752	bottom2
6106	bottom2
6107	bottom2
2825	top2

1274	bottom2
1275	bottom2
5014	bottom2
5048	bottom2
1607	bottom2
1606	bottom2
2807	bottom2
2698	top2

7005	top2

2582	top2
2583	top2
2584	top2
2585	top2
2586	top2
2587	top2
2588	top2

2985	top2
2986	top2
2987	top2
2988	top2
2989	top2
6359	top2
6360	top2
6253	top2
6254	top2
6255	top2
3051	top2
3052	top2
3053	top2

6480	top2
6481	top2
6477	bottom2

..	PDB
7mxy	top
7bgi	bottom
7oko	top
7vlx	top
7vly	top
7f3x	top
7f40	top

7pqd	top
7s3d	bottom
7knq	top
7eh7	top
7eh8	top
7ax3	top
7f0l	top
7elh	bottom
7peq	top
7per	top
7npw	top
7oxp	top
7oxr	top
7pil	top
7p4i	top
7muc	top
7mud	top
7mue	top
7muq	top
7mus	top
7muv	top
7muw	top
7muy	top

7osl	top
7pkp	top
7pko	top
7lb5	top
7lb6	top
7oy8	top
7bcq	top
7bcs	top
7bct	top
7rl6	top
7rl7	top
7rl9	top
7rla	top
7rlb	top
7rlc	top
7rld	top
7rlf	top
7rlg	top
7rlh	top
7k0s	bottom
7k0t	bottom
7ngh	top
7mqb	top
7mqc	top
7mqd	top
7mqe	top
7mqf	top
7mqg	top
7mqh	top
7mqi	top
7lc9	top
7m6a	top
7rdr	top
7dyr	top
7lna	top
7oyg	top
7l7s	top
7mdo	top
7mdm	top
7e26	top
7e27	top
7ovq	top
7ovr	top
7m6l	bottom
7eqd	bottom
7oui	bottom
6vpv	bottom
7d5k	top
7jq9	top
7jq9	top
7jq9	top
7mop	top
7mwd	top
7mwe	top
7mwf	top

7lx0	bottom
6zzx	bottom
6zzy	bottom
7a4p	bottom
7b9s	top

7etm	bottom
7et3	bottom
7etj	bottom
	
7dz7	bottom
7dz8	bottom
7e0h	bottom
7e0i	bottom
7e0j	bottom
7e0k	bottom

7ddg	top
6zji	top
7ddq	top
7cye	top
7ewq	top
7ash	top
7asi	top
7oi3	top
6zoo	bottom
7b03	top
7amy	top
7dwq	bottom
7npu	top
7npv	top
7l6n	top
6w6e	top
7nps	top
7djt	top
7en0	top
7d84	top

6wwe	y90
6wwf	y90
6wwg	y90
6wwh	y90
6wwi	y90
6wwj	y90
6wwk	y90
6wwl	y90
6wwm	y90
6wwn	y90
6wwo	y90
6wwp	y90
6wwq	y90
6wwr	y90
6wws	y90
6wwt	y90
6wwu	y90
6wwv	y90
7lvq	y90
7lvr	y90

7bj2	top
7o85	top
6vfe	top
7awa	top
7bp8	top
7bp9	top
7bpa	top
7bpb	top

7d1t	bottom
7d1u	bottom
7coy	bottom
7l2z	top
7dop	top
7czb	top
6x2l	top
6x3e	top
6x3f	top
7kdv	top
7d6d	top
7d6e	top
7boz	top
6m6g	bottom
6m6h	bottom
6m6i	bottom
7ld0	top
7d0j	bottom
6z1i	top
6z1o	top
7nca	top
7ncg	top
7nch	top
7nci	top
7ncj	top
7nck	top
7kwz	top

6zxa	top
6xf9	top
6xfa	top
6zcf	top
6zcg	top
6zch	top
6l35	bottom2
7azp	top
6vqq	top
6vqr	top
7a2i	top
7a7a	top
7a7c	top
7a8z	top
7aa3	top
7ag8	top
7czl	bottom
7jzh	top
7jz3	top
6wtz	top
6yn5	top
6z5r	top
6z5s	top
6x32	bottom
6x33	bottom
6x34	bottom
6x35	bottom
6x36	bottom
6w1n	bottom
6xss	top
7jsi	top
7jsf	top
7crc	top
7k5k	top
7jse	top
7jsg	top
7jsh	top
7jlv	top
7k48	top
6yp7	bottom
7k08	top
6zfx	top
6x14	top
6x15	top
6x16	top
6x17	top

6zg0	top
6zg1	top
7anw	top
7cw2	top
7cw3	top
7cm5	top
7cm6	top
7cm7	top
6ly5	bottom
6zrf	top
6zrq	top
6zrr	top
6yac	bottom
6yez	bottom

7bqx	bottom
7br7	bottom
7br8	top

6x62	top
6x64	top
6x66	top

6trc	bottom
6trd	bottom
6tra	bottom
6uzv	bottom
6slq	top
6slu	top
6smu	top
7cf9	bottom
6m2w	bottom
6skm	top
6skk	top
6ksw	top
6knf	top
6kng	top
6z16	top
6pv6	bottom
7jmf	bottom
7jmg	bottom
7jmh	bottom
7jmi	bottom
7jmj	bottom

6wot	bottom
6wou	bottom
6wov	bottom

6wgc	top
6s3q	top
6uot	top
6uov	top
6yxr	bottom
6sl5	bottom

6k33	bottom
6l4t	bottom
6l4u	bottom

6lrr-dep	top
6uzc-dep	top
6u5k-dep	top
6u5j-dep	top
6ojq-dep	y90
6pyt-dep	top
6tz4-dep	top	
6tz5-dep	top	
6tz9-dep	top	
6tza-dep	top	
6lrq-dep	top
6v7b-dep	top
6u5n	top
6u5p	top
6sd2	top
6sd5	top
6uwn	top
6ux4	top
6pp5	top
6pp6	top
6pp7	top
6pp8	top

6kio	y90
6kiq	y90
6xwn	top
6xwo	top
6xwp	top
6xwq	top
6xwr	top

6vh7	top
6vha	top
6vhl	top
6vpo-dep	y90
6vpp-dep	y90
6tcl	bottom
6rhz	bottom

6pnj	bottom
6kif	bottom
6kig	bottom

6kmw	bottom
6kmx	bottom
6sp2	top
6jg3	bottom
6jgz	bottom
6jh6	bottom
6jhn	bottom

6ji0	bottom
6ji8	bottom
6jii	bottom
6jiu	bottom
6jiy	bottom
6jrr	bottom
6jrs	bottom
6jv2	bottom

6pzw	top
6pzy	top
6pzz	top
6u02	top

6olj	top
6olk	top
6oll	top
6olm	top

6jeo	bottom
6iaw	top

6kaf	bottom
6kac	bottom
6kad	bottom

6k61	bottom
6ugd	top
6uge	top
6ugf	top
6ody	top
6hdd	bottom
6ndy	top
6oo2	top
6j40	bottom
6j3z	bottom
6j3y	bottom
6jlu	bottom
6nwa	bottom
6nyy	top
6ji1	top
6qxf-dep	top
6r83-dep	top
6he4-dep	top
6fg3-dep	bottom
6foo-dep	bottom
6f0x-dep	top
6cb8-1	top
6aui-dep	top
6ap1-dep	top
6bmf-dep	top
6az0-dep	top

5nd2-dep	y90
5nd3-dep	y90
5nd4-dep	y90
5nd7-dep	y90

5wc3-dep	top
5wc0-dep	top
5wcb-dep	top
5xmk-dep	top
5xml-dep	top
5xmn-dep	top
5xmi-dep	top

5myu-dep	top
5mdx-dep	top
5l1d-dep	top
5uie-dep	top
5n6w-dep	top
5mb8-dep	top
5muw-dep	top
5muv-dep	top
5upw-dep	top
5wve-dep	top
5mcx-dep	top
5mcy-dep	top
5mcz-dep	top
5md0-dep	top
5md1-dep	top
5md2-dep	top
5md3-dep	top
5md4-dep	top
5md5-dep	top
5md6-dep	top
5md7-dep	top
5md8-dep	top
5md9-dep	top
5mda-dep	top
5mdb-dep	top
5mdc-dep	top
5mdd-dep	top
5mde-dep	top
5mdf-dep	top
5mdg-dep	top

5juy-dep	top
5t15-dep	bottom
5t9m-dep	bottom
5t9n-dep	bottom
5t9r-dep	bottom
5t9s-dep	bottom
5t9v-dep	bottom
5ta3-dep	bottom
