.	emdb
1919	motor
1920	70s
1921	70s
1922	ribosome-c
1923	ribosome-c
1924	ribosome-c
1925	ribosome-c
1926	ribosome-c
1927	ribosome-c
1928	rna
1929	rna
1930	virus-c
1931	cycle
1932	misc
1933	virus-e
1934	virus-e
1935	virus-e
1936	virus-e
1937	virus-e
1938	virus-e
1939	virus-e
1940	misc
1941	motor
1942	virus-e
1943	virus-e
1944	virus-e
1945	virus-e
1946	virus-e
1947	virus-e
1948	virus-e
1949	membrane2
1950	motor
1951	needle
1952	needle
1953	needle
1954	needle
1955	needle
1956	virus-e
1957	virus-e
1958	virus-e
1959	virus-e
1960	protein
1961	protein
1962	protein
1963	protein
1964	misc
1965	misc
1966	membrane
1967	cell
1968	virus-e
1969	virus-e
1970	virus-c
1972	membrane
1973	virus-c
1974	virus-c
1975	ribosome-c
1976	ribosome-c
1977	membrane
1978	misc
1979	protein
1980	motor
1981	protein
1982	protein
1983	protein
1984	protein
1985	dna
1986	virus-c
1987	motor
1988	motor
1989	motor
1990	motor
1991	membrane
1992	protein
1993	protein
1994	protein
1995	misc
1996	virus-c
1997	protein
1998	protein
1999	protein
2000	protein
2001	protein
2002	protein
2003	protein
2004	motor
2005	motor
2006	motor
2007	membrane2
2008	80s
2009	70s
2010	80s
2011	membrane
2012	ribosome-c
2013	cycle
2014	cycle
2015	cycle
2016	cycle
2017	ribosome-c
2018	membrane2
2019	ribosome-c
2020	ribosome-c
2021	misc
2022	misc
2023	cell
2024	cell
2025	virus-e
2026	protein
2027	virus-e
2028	virus-e
2029	dna
2030	dna
2031	misc
2032	misc
2033	misc
2034	misc
2035	protein
2036	protein
2037	protein
2038	cycle
2039	misc
2040	misc
2041	misc
2042	needle
2043	virus-c
2044	membrane
2045	motor
2046	virus-e
2047	protein
2048	rna
2049	virus-o
2050	virus-o
2051	virus-o
2052	virus-o
2053	rna
2054	virus-e
2055	misc
2056	virus-c
2057	virus-e
2058	virus-e
2059	virus-e
2060	virus-e
2061	virus-o
2062	virus-e
2063	virus-o
2064	virus-c
2065	virus-c
2066	virus-c
2067	virus-c
2068	motor
2069	misc
2070	misc
2071	membrane
2072	membrane
2073	virus-c
2074	virus-c
2075	virus-e
2076	virus-e
2077	motor
2078	motor
2079	motor
2080	motor
2081	motor
2084	membrane2
2085	membrane2
2086	membrane2
2087	membrane2
2088	membrane2
2089	virus-e
2090	virus-e
2091	membrane
2092	virus-e
2093	virus-e
2094	motor
2095	motor
2096	misc
2097	misc
2098	motor
2099	80s
2100	virus-e
2101	cell
2102	rna
2103	amyloid
2104	amyloid
2105	needle
2106	virus-e
2107	virus-e
2108	virus-e
2109	virus-e
2110	misc
2111	misc
2112	virus-o
2113	motor
2114	motor
2115	motor
2116	motor
2117	motor
2118	motor
2119	motor
2120	motor
2121	motor
2122	motor
2123	motor
2124	motor
2125	motor
2126	motor
2127	motor
2128	motor
2129	motor
2130	motor
2131	motor
2132	motor
2133	virus-o
2136	needle
2137	needle
2138	virus-c
2139	virus-c
2140	virus-c
2141	virus-e
2142	virus-e
2143	virus-c
2144	virus-c
2145	virus-c
2146	virus-c
2147	virus-c
2148	virus-c
2149	virus-c
2150	virus-c
2151	membrane2
2152	motor
2153	motor
2154	motor
2155	motor
2156	motor
2157	motor
2158	membrane
2159	virus-o
2160	virus-o
2161	membrane
2162	virus-o
2163	misc
2164	misc
2165	protein
2166	ribosome-c
2167	ribosome-c
2168	ribosome-c
2169	ribosome-c
2170	70s
2171	ribosome-c
2172	70s
2173	misc
2174	misc
2175	misc
2176	misc
2177	misc
2179	80s
2180	cell
2181	membrane
2182	membrane
2183	70s
2184	virus-e
2185	motor
2186	motor
2187	motor
2188	rna
2189	rna
2190	rna
2191	rna
2192	rna
2193	rna
2194	rna
2195	membrane
2196	membrane
2197	membrane
2198	ribosome-c
2199	ribosome-c
2200	membrane
2201	membrane
