analog	Functional analog (chemistry)
splicing	RNA splicing
ligand	Ligand (biochemistry)
ligands	Ligand (biochemistry)
nucleic-acid	Nucleic acid
translation	Translation (biology)
periplasm	Periplasm
tim-barrel	TIM barrel
chaperone	Chaperone (protein)
beta-barrel	Beta barrel
spider	Spider
myoe	MYO1E
mercury	Mercury (element)
parkinson	Parkinson's disease
FRET	Fluorescence resonance energy transfer

..	database

db_go	Gene ontology
db_un	UniProt
db_in	InterPro
db_rt	Reactome
db_pf	Pfam
db_pr	PROSITE
db_gb	GenBank
db_ct	CATH database
db_ec	Enzyme Commission number

.	all
wild strawberries	Fragaria	
core protein	x
arstotzka protein	x

.	ng_title
//	変換後のエントリ
Smuggling	x
Coat	x
AMX-30 AuF1	x
Communications Zone	x
Royal Artillery Mounted Rifles	x
William Tecumseh Sherman	x
Royal Canadian Air Force	x
Mary River Aerodrome	x
Audio induction loop	x
Capitol Christian Music Group	x
Dodie Clark discography	x
Johann Sebastian Bach	x
Mama	x
Shin Megami Tensei III: Nocturne	x
Malankara Orthodox Syrian Church	x
Creation Seventh Day Adventist Church	x
Malankara Orthodox Syrian Church	x
New Testament apocrypha	x
Transvision Vamp	x
Winston Churchill	x
Silencer (firearms)	x
Novichok agent	x
MD1 (military R&D organisation)	x
Icar	x
Grenade	x
Self-propelled anti-aircraft weapon	x
Degtyaryov machine gun	x
Insecticidal	x
Empty	x
Foreign Policy Research Institute	x
H.261	x
Society for Promoting Christian Knowledge	x
PL-2	x
Autofocus	x

St. Michael Airport	x
Alstom PL42AC	x
Compass	x
Maritime transport	x
Name	x
Padehi, Sistan and Baluchestan	x
Padrón	x
Péhé	x
Pula	x
Ottoman Public Debt Administration	x
Rada	x
Beta	x
Group	x
Bran Van 3000	x
Dare to Be Stupid	x
David Palfreyman	x
Digital Living Network Alliance	x
Jagged 	x
Location	x
Sainte-Julienne Aerodrome	x
Shin Megami Tensei: Nocturne	x
Least I Could Do	x
The Dark Knight Strikes Again	x
Fantastic Four	x
Sly Cooper and the Thievius Raccoonus	x
WarGames	x
USS Yorktown (CV-10)	x
Saved by the Bell	x
Palm Springs Air Museum	x
Affirmative action	x
Centro Brasileiro de Pesquisas Físicas	x
Alcatel Business Communications	x
CNBC	x
Super Smash Bros. Melee	x
Commodore 64	x
Hect	x
Mature	x
Mobile phone	x
Shoot 'em up	x
KTRA-FM	x
Myst	x
Qbeta	x
Soho	x
WLAC	x
Toho	x
Centre for Cellular and Molecular Biology	x
International Association of Oil & Gas Producers	x
Intercity Express Programme	x
Internet slang	x
