.	emdb
3162	26976588
3197	26687357
3215	26687357
3228	
3242	26745716
3243	26745716
3246	28796912
3265	
3285	26973877
3286	
3287	
3289	27052168
3302	26950744
3309	26941313
3312	26941313
3323	26849035
3324	26849035
3325	26849035
3326	26849035
3327	26849035
3328	26849035
3329	27072897
3334	27072897
3335	27072897
3336	27072897
3374	27193680
3376	27193681
3392	27193680
3393	27193680
3394	27193680
3395	27193680
3396	27193680
3397	27193680
3398	27573843
3399	27098840
3405	
3434	28989723
3442	27478930
3457	28109158
3486	30417123
3518	
3557	31076588
3558	31076588
3579	28408604
3693	
3745	29083413
3792	28165453
3832	29219966
3853	
3854	
3932	31882451
3933	31882451
3934	31882451
3935	31882451
3952	29101307
4069	
4094	28783726
4175	
4185	
4186	
4188	30250060
4189	32679289
4213	
4289	29662061
4320	
4325	
4326	
4418	31925077
4420	31925077
4468	31653338
4521	31591605
4522	
4523	
4524	
4606	
4607	
4639	30948752
4641	30948752
4659	
4718	
4749	
4754	
4761	
4769	32039758
4906	
4911	
4916	
4977	
4978	
4979	
4985	31804486
5200	
5623	23644547
5802	25635393
5803	25635393
5989	25599398
5996	25520499
5997	25520499
6041	
6042	
6075	25586378
6076	25586378
6088	
6089	
6090	
6091	
6092	
6093	
6094	
6095	
6096	
6097	
6098	
6219	25707029
6226	27276256
6227	27276256
6228	27276256
6229	27276256
6230	27276256
6245	25707030
6246	25707030
6247	25707030
6248	25707030
6265	26208681
6292	
6335	27965356
6336	27965356
6386	27111889
6387	27111889
6398	
6402	
6403	
6412	26724995
6422	
6427	28281671
6453	26754256
6471	26578771
6472	26578771
6473	26578771
6499	27097373
6559	26973877
6617	27251276
6640	27238017
6641	27238017
6642	28949297
6663	30478312
6665	28877468
6666	28877468
6672	28191894
6673	28191894
6674	28191894
6702	29070691
6717	27621318
6745	
6771	28844695
6772	28844695
6773	28844695
6774	28844695
6840	
6841	29261802
6887	
6888	
6935	
6938	31308435
7305	
7346	
7440	
7613	29746833
7640	30193986
7641	30193986
7642	30193986
7643	30193986
7644	30193986
7645	30193986
7646	30193986
7647	30193986
7648	30193986
7649	30193986
7650	30193986
7651	30193986
7652	30193986
7653	30193986
7654	30193986
7655	30193986
7656	30193986
7657	30193986
7658	30193986
7944	32049031
7945	32049031
8258	27507825
8259	27507825
8260	27507825
8261	27507825
8303	28536302
8326	27836840
8328	27836840
8329	27836840
8330	27836840
8461	27912062
8520	28096349
8530	28188291
8552	28379137
8553	28379137
8554	28379137
8555	28379137
8556	28379137
8557	28379137
8570	28379137
8571	28379137
8572	28379137
8580	28232581
8753	
8799	30349041
8802	30349041
