
wikipe	ELETTRA
place	Trieste, Italy

.	e:lnls
url	http://www.lnls.cnpem.br/
wikipe	Laboratório Nacional de Luz Síncrotron
place	São Paulo, Brazil

.	e:alba
url	https://www.cells.es/en
wikipe	ALBA (synchrotron)
place	Catalonia, Spain

.	e:bsrf
url	http://english.bsrf.ihep.cas.cn/
place	Beijing, China

.	e:aichisr
url	http://www.astf-kha.jp/synchrotron/
place	Aichi, Japan

.	e:camd
url	http://www.lsu.edu/camd/
place	Baton Rouge, USA

.	e:soleil swing
url	https://www.synchrotron-soleil.fr/fr/lignes-de-lumiere/swing
place	Essonne, France

.	e:max ii
wikipe	MAX IV Laboratory
url	https://www.maxiv.lu.se/
place	Sweden

.	e:max_ii
wikipe	MAX IV Laboratory
url	https://www.maxiv.lu.se/
place	Sweden

.	e:max iv
wikipe	MAX IV Laboratory
url	https://www.maxiv.lu.se/
place	Sweden

.	e:lure
place	Orsay, France

.	e:slac lcls
place	CA, USA
wikipe	SLAC National Accelerator Laboratory

.	e:frm ii
place	Garching, Germany
url	http://www.frm2.tum.de/en/home/

.	e:ill
url	https://www.ill.eu/
place	Grenoble, France
wikipe	Institut Laue–Langevin

.	e:nfpss
place	Shanghai, China

.	petra ii, desy
wikipe	DESY
place	Germany

.	e:petra iii, desy
wikipe	DESY
place	Germany

.	e:petra iii, embl c/o desy
wikipe	DESY
place	Germany

.	e:rrcat indus-2
url	http://www.rrcat.gov.in/technology/accel/srul/beamlines/
place	India
wikipe	Indus 2

.	e:kurchatov snc
wikipe	Kurchatov Center for Synchrotron Radiation and Nanotechnology
place	Russia

.	e:mpg/desy, hamburg
place	Hamburg, Germany

.	e:european xfel
url	https://www.xfel.eu/
wikipe	European XFEL
place	Hamburg, Germany

.	e:jparc mlf
place	Ibaraki, Japan
url	https://j-parc.jp/

.	e:jrr-3m
place	Ibaraki, Japan

.	e:kcsrnt
place	Russia

.	e:lansce
place	New Mexico, USA
url	https://lansce.lanl.gov/
wikipe	Los Alamos Neutron Science Center

.	e:nsrl
place	Anhui, China
url	http://en.nsrl.ustc.edu.cn/

.	e:ornl high flux isotope reactor
url	https://neutrons.ornl.gov/hfir
place	USA

.	e:ornl spallation neutron source
place	USA
url	https://neutrons.ornl.gov/sns

.	e:slri
place	Nakhon Ratchasima, Thailand
url	https://www.slri.or.th/en/
comment	Synchrotron Light Research Institute

.	e:swissfel aramis
place	Switzerland
url	https://www.psi.ch/lap/aramis-swissfel

.	e:saga-ls
place	Saga, Japan
url	http://www.saga-ls.jp/main/
